,Alveolar epithelial cells (Lung),B Cell,Endothelial Cell,Erythrocytes,Mast Cell,Mesenchymal Stem Cell,Myeloid Cell,Myoblast,Non-malignant mesenchymal/stromal population,Osteoblast (non malignant),Osteoblast_subcluster_0,Osteoblast_subcluster_1,Osteoblast_subcluster_2,Osteoblast_subcluster_3,Osteoblast_subcluster_4,Osteoblast_subcluster_5,Osteoclast,Plasma Cell,Plasmacytoid dendritic cells (pDCs),T/NK Cell
3512,0.11013724,0.0011969028,0.0030507904,0.07903444,0.00046112496,0.009505807,0.39554062,0.008362421,0.0008734575,0.0012183294,0.0025256001,0.001181897,0.0022270016,0.0032147386,0.15377069,0.0037206416,0.22304454,0.0005021413,0.0028988617,0.046292014
3513,0.4599139,0.00048652996,0.00017305218,0.011383776,0.00035888772,0.0006595897,2.8506947e-05,0.008007819,4.357812e-05,0.00013072888,4.5698558e-05,0.00016829354,0.0002120597,0.0007706401,0.0014770859,0.0021970363,6.0520826e-05,0.0003129996,0.002494863,2.383521e-05
3515,23.293129,0.0008925568,0.0032733516,0.015261076,0.00039580042,0.10256231,0.07003111,0.017804952,0.023401089,0.014922288,0.09171835,0.08882763,0.15080504,0.11221886,0.099568866,0.11076417,0.045247126,0.0010573063,0.0031122882,9.857305e-05
3516,0.0883863,0.0004984604,0.00023787898,0.018865352,0.00044199094,0.0014078821,0.0002960075,0.0250985,0.00013251067,0.0003466162,0.0001907287,0.0008522193,0.0042572566,0.0012617897,0.004232629,0.0033576174,6.201243e-05,0.0003833948,0.006937832,2.7024269e-05
3517,0.80452454,0.017325936,0.20248385,0.019209813,0.0020331051,0.15206371,0.11068114,0.21925336,0.060465127,0.04232521,0.16555607,0.23630194,0.16768318,0.13505115,0.19492726,0.26982114,0.24894041,0.018727727,0.05085019,0.009025611
3521,0.17137012,0.17582828,0.0602795,0.014595011,0.023843627,0.075295106,0.11782908,0.029861625,0.012586387,0.004484114,0.17778389,0.22218364,0.17972644,0.7782681,0.3021631,0.2567726,0.023481514,0.021733515,0.23776998,0.042059474
3522,0.0031407096,0.22101006,0.003224221,0.01677734,0.0009694373,0.0015750625,0.029716827,0.0065927254,0.0004951485,0.0010303287,0.00060205895,0.0015055119,0.0004561739,0.0029848772,0.0296576,0.0013932029,0.01155135,0.09952943,0.0043185195,0.07456099
3523,0.04423493,0.079360686,0.06552934,0.013090129,0.011236137,0.031673636,0.054788686,0.012068798,0.022312142,0.02216348,0.0963234,0.10965353,0.06495805,0.11187927,0.12416704,0.13834566,0.089301564,0.051165413,0.015217247,0.04020981
3524,1.7431515,0.27960116,0.3054387,0.01740129,0.030814305,0.3429066,0.19895211,0.016256856,0.0986392,0.06485028,0.34178597,0.352317,0.4162487,1.3480939,0.45389175,0.5324667,0.22118281,0.10091068,0.12496304,0.14154859
3526,0.079426385,0.020850321,0.08930545,0.009208526,0.021637307,0.05150237,0.19472328,0.09601222,0.036357954,0.039758544,0.09945749,0.15467891,0.28550258,0.07590302,0.19266696,0.12242485,0.30107465,0.035629805,0.042056102,0.026028614
3527,0.041552976,0.028969808,0.02364653,0.030291876,0.6128227,0.35211763,0.014834375,0.06321505,0.32204145,0.1638781,0.92970324,1.1411276,1.1320326,0.94185996,0.62245315,1.2879747,0.018491356,1.7582316,1.5763222,0.0986999
3529,0.11291521,0.05103375,0.2454108,0.08275113,0.15738925,0.33674198,0.16433407,0.9199597,0.164198,0.13130547,0.60075724,1.1062384,0.6086324,0.47353822,0.67413336,1.0885758,0.59871435,0.07963503,0.08290577,0.049489893
3530,0.013320851,0.00037995187,0.002224867,0.0053133136,0.00035209622,0.031641264,0.03913723,0.014708696,0.0009827488,0.0003370333,0.00041538515,0.00050709443,0.00023951592,0.0016877649,0.019991346,0.0015983729,0.0029704075,0.00029981017,0.0015990252,7.005781e-05
3531,0.468496,0.00084212393,0.015152218,0.009892011,0.00042589413,0.07812951,0.021007922,0.016366182,0.017979145,0.01643313,0.037355524,0.04981581,0.05046104,0.03636375,0.065356575,0.03980986,0.015012926,0.0022977893,0.0033332994,0.00024110283
3532,0.092291944,0.013365125,0.0017327564,0.007942148,0.00073430035,0.00058657385,0.04144785,0.008314184,0.00060002523,0.0014406999,0.00017774884,0.0006712542,0.011813265,0.0016581848,0.03290171,0.0016148903,0.0022974622,0.0012381311,0.0038545886,0.0045807706
3534,0.8863585,0.4236311,0.8516305,0.95402026,0.2530893,1.1740125,0.54789037,3.224703,0.7395832,0.52327234,2.6545534,4.1260214,3.3966048,1.8563236,2.908036,4.5278654,2.7364802,0.49514514,0.59940904,0.30542317
3537,4.920602,5.005726,14.676231,2.5320904,5.3213058,8.6428585,5.8166947,4.5003467,7.1439924,4.6230564,21.340305,40.53394,29.519867,16.136219,21.308826,49.043358,36.11239,3.874891,4.7378645,3.3459852
3538,0.016160222,0.02144869,0.0571881,0.01828353,0.011985813,0.052134447,0.023837531,0.032159988,0.026474008,0.020230202,0.10412515,0.2148474,0.12035759,0.11487165,0.107611194,0.17108491,0.06466478,0.010358646,0.024191443,0.013923952
3539,0.025796972,0.015128348,0.039218266,0.016688013,0.015468732,0.042665984,0.019995581,0.09132625,0.030465938,0.02636706,0.10118626,0.14810199,0.106932424,0.08316529,0.09552239,0.17927086,0.06622995,0.016559308,0.029738033,0.009986507
3540,0.0025926435,0.0004646187,0.024470141,0.011806037,0.00042542568,0.0077542323,8.014282e-05,0.011910194,0.00029746647,0.00028245797,0.0094205765,0.0020565717,0.0023029777,0.016193613,0.0063357996,0.0037550582,0.004514919,0.0006950621,0.004854963,0.0007283565
3541,0.104914755,0.012713729,0.053775873,0.0075915004,0.009035897,0.030563245,0.02607961,0.0394306,0.022797292,0.022889879,0.06785004,0.08545197,0.091677554,0.06054608,0.060601458,0.12884544,0.05163999,0.007301579,0.026120383,0.011695924
3542,0.002621197,0.00075120886,0.00048242946,0.012598576,0.00053929596,0.07734848,2.2315204e-05,0.025794582,0.004532047,0.0014780475,0.0007792259,0.0007008644,0.0010424503,0.00085553963,0.0027023111,0.0035639054,7.949495e-05,0.00033725836,0.0032938789,0.0003459008
3544,0.8368502,0.072835065,0.20388165,0.02286405,0.07729055,0.4707303,0.16979387,1.0709034,0.19006072,0.13966012,0.7942276,1.0763243,0.8947902,0.75990415,0.7303317,1.1813977,0.830554,0.06663285,0.07805064,0.04299266
3545,0.006377384,0.0004072761,0.002584503,0.0076466845,0.0005206295,0.022714244,0.00014226147,1.432264,0.047708914,0.036289994,0.11626922,0.15770936,0.20618063,0.043377623,0.08556948,0.22764432,0.00087538455,0.000835198,0.0016804722,0.00012245376
